"pertanyaan","jawaban","kategori"
"bisa lihat menu?","Kami menyediakan beberapa kategori menu yaitu: Makanan Pembuka, Sup, Kuah, Daging, Sapi, Ayam, Bebek, Burung Dara, Nasi, Telur, Bubur, Mie, Bihun, Kwetiauw, Ikan, Kepiting, Udang, Cumi, Minuman, Jus, Es, Makanan Kebun, Makanan lainnya dan Minuman lainnya, silahkan bertanya menu apa saja yang ada di setiap kategorinya.","menu"
"tolong tunjukkan menu","Kami menyediakan beberapa kategori menu yaitu: Makanan Pembuka, Sup, Kuah, Daging, Sapi, Ayam, Bebek, Burung Dara, Nasi, Telur, Bubur, Mie, Bihun, Kwetiauw, Ikan, Kepiting, Udang, Cumi, Minuman, Jus, Es, Makanan Kebun, Makanan lainnya dan Minuman lainnya, silahkan bertanya menu apa saja yang ada di setiap kategorinya.","menu"
"apa saja yang dijual?","Kami menyediakan beberapa kategori menu yaitu: Makanan Pembuka, Sup, Kuah, Daging, Sapi, Ayam, Bebek, Burung Dara, Nasi, Telur, Bubur, Mie, Bihun, Kwetiauw, Ikan, Kepiting, Udang, Cumi, Minuman, Jus, Es, Makanan Kebun, Makanan lainnya dan Minuman lainnya, silahkan bertanya menu apa saja yang ada di setiap kategorinya.","menu"
"mau lihat daftar makanan","Kami menyediakan beberapa kategori menu yaitu: Makanan Pembuka, Sup, Kuah, Daging, Sapi, Ayam, Bebek, Burung Dara, Nasi, Telur, Bubur, Mie, Bihun, Kwetiauw, Ikan, Kepiting, Udang, Cumi, Minuman, Jus, Es, Makanan Kebun, Makanan lainnya dan Minuman lainnya, silahkan bertanya menu apa saja yang ada di setiap kategorinya.","menu"
"resto ini jual apa?","Kami menyediakan beberapa kategori menu yaitu: Makanan Pembuka, Sup, Kuah, Daging, Sapi, Ayam, Bebek, Burung Dara, Nasi, Telur, Bubur, Mie, Bihun, Kwetiauw, Ikan, Kepiting, Udang, Cumi, Minuman, Jus, Es, Makanan Kebun, Makanan lainnya dan Minuman lainnya, silahkan bertanya menu apa saja yang ada di setiap kategorinya.","menu"
"bisa minta menunya?","Kami menyediakan beberapa kategori menu yaitu: Makanan Pembuka, Sup, Kuah, Daging, Sapi, Ayam, Bebek, Burung Dara, Nasi, Telur, Bubur, Mie, Bihun, Kwetiauw, Ikan, Kepiting, Udang, Cumi, Minuman, Jus, Es, Makanan Kebun, Makanan lainnya dan Minuman lainnya, silahkan bertanya menu apa saja yang ada di setiap kategorinya.","menu"
"punya menu apa saja?","Kami menyediakan beberapa kategori menu yaitu: Makanan Pembuka, Sup, Kuah, Daging, Sapi, Ayam, Bebek, Burung Dara, Nasi, Telur, Bubur, Mie, Bihun, Kwetiauw, Ikan, Kepiting, Udang, Cumi, Minuman, Jus, Es, Makanan Kebun, Makanan lainnya dan Minuman lainnya, silahkan bertanya menu apa saja yang ada di setiap kategorinya.","menu"
"tampilkan menu resto","Kami menyediakan beberapa kategori menu yaitu: Makanan Pembuka, Sup, Kuah, Daging, Sapi, Ayam, Bebek, Burung Dara, Nasi, Telur, Bubur, Mie, Bihun, Kwetiauw, Ikan, Kepiting, Udang, Cumi, Minuman, Jus, Es, Makanan Kebun, Makanan lainnya dan Minuman lainnya, silahkan bertanya menu apa saja yang ada di setiap kategorinya.","menu"
"mau pesan, ada menu apa?","Kami menyediakan beberapa kategori menu yaitu: Makanan Pembuka, Sup, Kuah, Daging, Sapi, Ayam, Bebek, Burung Dara, Nasi, Telur, Bubur, Mie, Bihun, Kwetiauw, Ikan, Kepiting, Udang, Cumi, Minuman, Jus, Es, Makanan Kebun, Makanan lainnya dan Minuman lainnya, silahkan bertanya menu apa saja yang ada di setiap kategorinya.","menu"
"bisa lihat daftar menu?","Kami menyediakan beberapa kategori menu yaitu: Makanan Pembuka, Sup, Kuah, Daging, Sapi, Ayam, Bebek, Burung Dara, Nasi, Telur, Bubur, Mie, Bihun, Kwetiauw, Ikan, Kepiting, Udang, Cumi, Minuman, Jus, Es, Makanan Kebun, Makanan lainnya dan Minuman lainnya, silahkan bertanya menu apa saja yang ada di setiap kategorinya.","menu"
"menu hari ini apa?","Kami menyediakan beberapa kategori menu yaitu: Makanan Pembuka, Sup, Kuah, Daging, Sapi, Ayam, Bebek, Burung Dara, Nasi, Telur, Bubur, Mie, Bihun, Kwetiauw, Ikan, Kepiting, Udang, Cumi, Minuman, Jus, Es, Makanan Kebun, Makanan lainnya dan Minuman lainnya, silahkan bertanya menu apa saja yang ada di setiap kategorinya.","menu"
"makanan pembuka ada menu apa saja?","Makanan pembuka yang tersedia yaitu: Salad Udang, Salad Udang Goreng, Salad Fillet Ikan Krispi Keju, Salad Lobster, Salad Cumi Goreng, Salad Buah dan Salad Ayam.","menu"
"apa saja makanan pembuka?","Makanan pembuka yang tersedia yaitu: Salad Udang, Salad Udang Goreng, Salad Fillet Ikan Krispi Keju, Salad Lobster, Salad Cumi Goreng, Salad Buah dan Salad Ayam.","menu"
"menu makanan pembuka","Makanan pembuka yang tersedia yaitu: Salad Udang, Salad Udang Goreng, Salad Fillet Ikan Krispi Keju, Salad Lobster, Salad Cumi Goreng, Salad Buah dan Salad Ayam.","menu"
"appetizer apa yang ada?","Makanan pembuka yang tersedia yaitu: Salad Udang, Salad Udang Goreng, Salad Fillet Ikan Krispi Keju, Salad Lobster, Salad Cumi Goreng, Salad Buah dan Salad Ayam.","menu"
"salad apa saja yang tersedia?","Makanan pembuka yang tersedia yaitu: Salad Udang, Salad Udang Goreng, Salad Fillet Ikan Krispi Keju, Salad Lobster, Salad Cumi Goreng, Salad Buah dan Salad Ayam.","menu"
"apakah ada salad udang?","Tersedia Salad Udang dengan harga Rp.227.000","menu"
"apakah ada salad udang goreng?","Tersedia Salad Udang Goreng dengan harga Rp.185.000","menu"
"apakah ada salad fillet ikan krispi keju?","Tersedia Salad Fillet Ikan Krispi Keju dengan harga Rp.180.000","menu"
"apakah ada salad lobster?","Tersedia Salad Lobster dengan harga Rp.75.000/Ons","menu"
"apakah ada salad cumi goreng?","Tersedia Salad Cumi Goreng dengan harga Rp.125.000","menu"
"apakah ada salad buah?","Tersedia Salad Buah dengan harga Rp.85.000","menu"
"apakah ada salad ayam?","Tersedia Salad Ayam dengan harga Rp.65.000","menu"
"harga salad udang?","Harga Salad Udang: Rp.227.000","harga"
"berapa harga salad udang?","Harga Salad Udang: Rp.227.000","harga"
"salad udang harganya berapa?","Harga Salad Udang: Rp.227.000","harga"
"price salad udang","Harga Salad Udang: Rp.227.000","harga"
"harga salad udang goreng?","Harga Salad Udang Goreng: Rp.185.000","harga"
"berapa harga salad udang goreng?","Harga Salad Udang Goreng: Rp.185.000","harga"
"salad udang goreng harganya?","Harga Salad Udang Goreng: Rp.185.000","harga"
"harga salad fillet ikan krispi keju?","Harga Salad Fillet Ikan Krispi Keju: Rp.180.000","harga"
"berapa harga salad ikan krispi keju?","Harga Salad Fillet Ikan Krispi Keju: Rp.180.000","harga"
"salad ikan krispi keju harganya?","Harga Salad Fillet Ikan Krispi Keju: Rp.180.000","harga"
"harga salad lobster?","Harga Salad Lobster: Rp.75.000/Ons","harga"
"salad lobster berapa harganya?","Harga Salad Lobster: Rp.75.000/Ons","harga"
"berapa harga salad lobster?","Harga Salad Lobster: Rp.75.000/Ons","harga"
"harga salad lobster per ons?","Harga Salad Lobster: Rp.75.000/Ons","harga"
"harga salad cumi goreng?","Harga Salad Cumi Goreng: Rp.125.000","harga"
"salad cumi goreng berapa?","Harga Salad Cumi Goreng: Rp.125.000","harga"
"berapa harga salad cumi?","Harga Salad Cumi Goreng: Rp.125.000","harga"
"harga salad buah?","Harga Salad Buah: Rp.85.000","harga"
"salad buah harganya berapa?","Harga Salad Buah: Rp.85.000","harga"
"berapa harga salad buah?","Harga Salad Buah: Rp.85.000","harga"
"harga salad ayam?","Harga Salad Ayam: Rp.65.000","harga"
"salad ayam berapa harganya?","Harga Salad Ayam: Rp.65.000","harga"
"berapa harga salad ayam?","Harga Salad Ayam: Rp.65.000","harga"
"daftar harga makanan pembuka","Berikut daftar harga makanan pembuka: Salad Udang Rp.227.000, Salad Udang Goreng Rp.185.000, Salad Fillet Ikan Krispi Keju Rp.180.000, Salad Lobster Rp.75.000/Ons, Salad Cumi Goreng Rp.125.000, Salad Buah Rp.85.000, Salad Ayam Rp.65.000","harga"
"harga semua makanan pembuka","Berikut daftar harga makanan pembuka: Salad Udang Rp.227.000, Salad Udang Goreng Rp.185.000, Salad Fillet Ikan Krispi Keju Rp.180.000, Salad Lobster Rp.75.000/Ons, Salad Cumi Goreng Rp.125.000, Salad Buah Rp.85.000, Salad Ayam Rp.65.000","harga"
"price list appetizer","Berikut daftar harga makanan pembuka: Salad Udang Rp.227.000, Salad Udang Goreng Rp.185.000, Salad Fillet Ikan Krispi Keju Rp.180.000, Salad Lobster Rp.75.000/Ons, Salad Cumi Goreng Rp.125.000, Salad Buah Rp.85.000, Salad Ayam Rp.65.000","harga"
"sup ada menu apa saja?","Menu Sup yang tersedia yaitu: Sup Asparagus Jagung Kepiting, Sup Asparagus Jagung Ayam, Sup Jagung Kepiting, Sup Jagung Ayam, Sup Asam Pedas / Sze Cuan, Sup Tahu Aneka Seafood, Sup Bibir Ikan, Sup Tahu dan Sapi Cincang, Sup Tom Yam.","menu"
"menu sup apa yang ada?","Menu Sup yang tersedia yaitu: Sup Asparagus Jagung Kepiting, Sup Asparagus Jagung Ayam, Sup Jagung Kepiting, Sup Jagung Ayam, Sup Asam Pedas / Sze Cuan, Sup Tahu Aneka Seafood, Sup Bibir Ikan, Sup Tahu dan Sapi Cincang, Sup Tom Yam.","menu"
"apa saja pilihan sup?","Menu Sup yang tersedia yaitu: Sup Asparagus Jagung Kepiting, Sup Asparagus Jagung Ayam, Sup Jagung Kepiting, Sup Jagung Ayam, Sup Asam Pedas / Sze Cuan, Sup Tahu Aneka Seafood, Sup Bibir Ikan, Sup Tahu dan Sapi Cincang, Sup Tom Yam.","menu"
"list menu sup","Menu Sup yang tersedia yaitu: Sup Asparagus Jagung Kepiting, Sup Asparagus Jagung Ayam, Sup Jagung Kepiting, Sup Jagung Ayam, Sup Asam Pedas / Sze Cuan, Sup Tahu Aneka Seafood, Sup Bibir Ikan, Sup Tahu dan Sapi Cincang, Sup Tom Yam.","menu"
"soup apa yang tersedia?","Menu Sup yang tersedia yaitu: Sup Asparagus Jagung Kepiting, Sup Asparagus Jagung Ayam, Sup Jagung Kepiting, Sup Jagung Ayam, Sup Asam Pedas / Sze Cuan, Sup Tahu Aneka Seafood, Sup Bibir Ikan, Sup Tahu dan Sapi Cincang, Sup Tom Yam.","menu"
"jenis sup apa saja?","Menu Sup yang tersedia yaitu: Sup Asparagus Jagung Kepiting, Sup Asparagus Jagung Ayam, Sup Jagung Kepiting, Sup Jagung Ayam, Sup Asam Pedas / Sze Cuan, Sup Tahu Aneka Seafood, Sup Bibir Ikan, Sup Tahu dan Sapi Cincang, Sup Tom Yam.","menu"
"apakah ada sup asparagus jagung kepiting?","Tersedia Sup Asparagus Jagung Kepiting: Rp.85.000, 1/2 porsi: Rp.50.000","menu"
"apakah ada sup asparagus jagung ayam?","Tersedia Sup Asparagus Jagung Ayam: Rp.80.000, 1/2 porsi: Rp.45.000","menu"
"apakah ada sup jagung kepiting?","Tersedia Sup Jagung Kepiting: Rp.80.000, 1/2 porsi: Rp.45.000","menu"
"apakah ada sup jagung ayam?","Tersedia Sup Jagung Ayam: Rp.75.000, 1/2 porsi: Rp.45.000","menu"
"apakah ada sup asam pedas?","Tersedia Sup Asam Pedas / Sze Cuan: Rp.65.000","menu"
"apakah ada sup sze cuan?","Tersedia Sup Asam Pedas / Sze Cuan: Rp.65.000","menu"
"apakah ada sup tahu aneka seafood?","Tersedia Sup Tahu Aneka Seafood: Rp.80.000","menu"
"apakah ada sup bibir ikan?","Tersedia Sup Bibir Ikan: Rp.75.000","menu"
"apakah ada sup tahu dan sapi cincang?","Tersedia Sup Tahu dan Sapi Cincang: Rp.70.000","menu"
"apakah ada sup tom yam?","Tersedia Sup Tom Yam: Rp.75.000","menu"
"harga Sup Asparagus Jagung Kepiting?","Harga Sup Asparagus Jagung Kepiting: Rp.85.000, 1/2 porsi: Rp.50.000","harga"
"berapa harga sup asparagus jagung kepiting?","Harga Sup Asparagus Jagung Kepiting: Rp.85.000, 1/2 porsi: Rp.50.000","harga"
"sup asparagus jagung kepiting harganya?","Harga Sup Asparagus Jagung Kepiting: Rp.85.000, 1/2 porsi: Rp.50.000","harga"
"price sup asparagus jagung kepiting","Harga Sup Asparagus Jagung Kepiting: Rp.85.000, 1/2 porsi: Rp.50.000","harga"
"harga setengah porsi sup asparagus jagung kepiting?","Harga Sup Asparagus Jagung Kepiting: Rp.85.000, 1/2 porsi: Rp.50.000","harga"
"harga Sup Asparagus Jagung Ayam?","Harga Sup Asparagus Jagung Ayam: Rp.80.000, 1/2 porsi: Rp.45.000","harga"
"sup asparagus jagung ayam berapa?","Harga Sup Asparagus Jagung Ayam: Rp.80.000, 1/2 porsi: Rp.45.000","harga"
"berapa harga sup asparagus ayam?","Harga Sup Asparagus Jagung Ayam: Rp.80.000, 1/2 porsi: Rp.45.000","harga"
"harga 1/2 porsi sup asparagus jagung ayam?","Harga Sup Asparagus Jagung Ayam: Rp.80.000, 1/2 porsi: Rp.45.000","harga"
"harga Sup Jagung Kepiting?","Harga Sup Jagung Kepiting: Rp.80.000, 1/2 porsi: Rp.45.000","harga"
"sup jagung kepiting harganya berapa?","Harga Sup Jagung Kepiting: Rp.80.000, 1/2 porsi: Rp.45.000","harga"
"price sup jagung kepiting","Harga Sup Jagung Kepiting: Rp.80.000, 1/2 porsi: Rp.45.000","harga"
"harga Sup Jagung Ayam?","Harga Sup Jagung Ayam: Rp.75.000, 1/2 porsi: Rp.45.000","harga"
"sup jagung ayam berapa harganya?","Harga Sup Jagung Ayam: Rp.75.000, 1/2 porsi: Rp.45.000","harga"
"harga setengah porsi sup jagung ayam?","Harga Sup Jagung Ayam: Rp.75.000, 1/2 porsi: Rp.45.000","harga"
"harga Sup Asam Pedas / Sze Cuan?","Harga Sup Asam Pedas / Sze Cuan: Rp.65.000","harga"
"sup asam pedas harganya?","Harga Sup Asam Pedas / Sze Cuan: Rp.65.000","harga"
"sup sze cuan berapa?","Harga Sup Asam Pedas / Sze Cuan: Rp.65.000","harga"
"harga sup sze cuan?","Harga Sup Asam Pedas / Sze Cuan: Rp.65.000","harga"
"harga Sup Tahu Aneka Seafood?","Harga Sup Tahu Aneka Seafood: Rp.80.000","harga"
"sup tahu seafood harganya berapa?","Harga Sup Tahu Aneka Seafood: Rp.80.000","harga"
"berapa harga sup tahu aneka seafood?","Harga Sup Tahu Aneka Seafood: Rp.80.000","harga"
"harga Sup Bibir Ikan?","Harga Sup Bibir Ikan: Rp.75.000","harga"
"sup bibir ikan berapa?","Harga Sup Bibir Ikan: Rp.75.000","harga"
"harga sup bibir ikan?","Harga Sup Bibir Ikan: Rp.75.000","harga"
"harga Sup Tahu dan Sapi Cincang?","Harga Sup Tahu dan Sapi Cincang: Rp.70.000","harga"
"sup tahu sapi cincang harganya?","Harga Sup Tahu dan Sapi Cincang: Rp.70.000","harga"
"berapa harga sup tahu sapi?","Harga Sup Tahu dan Sapi Cincang: Rp.70.000","harga"
"harga Sup Tom Yam?","Harga Sup Tom Yam: Rp.75.000","harga"
"sup tom yam berapa harganya?","Harga Sup Tom Yam: Rp.75.000","harga"
"harga tom yam soup?","Harga Sup Tom Yam: Rp.75.000","harga"
"daftar harga semua sup","Berikut daftar harga sup: Sup Asparagus Jagung Kepiting Rp.85.000 (1/2: Rp.50.000), Sup Asparagus Jagung Ayam Rp.80.000 (1/2: Rp.45.000), Sup Jagung Kepiting Rp.80.000 (1/2: Rp.45.000), Sup Jagung Ayam Rp.75.000 (1/2: Rp.45.000), Sup Asam Pedas Rp.65.000, Sup Tahu Seafood Rp.80.000, Sup Bibir Ikan Rp.75.000, Sup Tahu Sapi Cincang Rp.70.000, Sup Tom Yam Rp.75.000","harga"
"harga semua menu sup","Berikut daftar harga sup: Sup Asparagus Jagung Kepiting Rp.85.000 (1/2: Rp.50.000), Sup Asparagus Jagung Ayam Rp.80.000 (1/2: Rp.45.000), Sup Jagung Kepiting Rp.80.000 (1/2: Rp.45.000), Sup Jagung Ayam Rp.75.000 (1/2: Rp.45.000), Sup Asam Pedas Rp.65.000, Sup Tahu Seafood Rp.80.000, Sup Bibir Ikan Rp.75.000, Sup Tahu Sapi Cincang Rp.70.000, Sup Tom Yam Rp.75.000","harga"
"price list soup","Berikut daftar harga sup: Sup Asparagus Jagung Kepiting Rp.85.000 (1/2: Rp.50.000), Sup Asparagus Jagung Ayam Rp.80.000 (1/2: Rp.45.000), Sup Jagung Kepiting Rp.80.000 (1/2: Rp.45.000), Sup Jagung Ayam Rp.75.000 (1/2: Rp.45.000), Sup Asam Pedas Rp.65.000, Sup Tahu Seafood Rp.80.000, Sup Bibir Ikan Rp.75.000, Sup Tahu Sapi Cincang Rp.70.000, Sup Tom Yam Rp.75.000","harga"
"kuah ada menu apa saja?","Menu Kuah yang tersedia yaitu: Pangsit Kuah, Capcay Kuah, Kuah Bakso Sapi, Kuah Bakso Ikan, Kuah Tahu Seafood, Sup Sehat, Sup Hipio, Sup Ayam Tempo Dulu, Sup Sapi Tempo Dulu, Sup Iga Sapi, Sup Buntut Sapi.","menu"
"menu kuah apa yang ada?","Menu Kuah yang tersedia yaitu: Pangsit Kuah, Capcay Kuah, Kuah Bakso Sapi, Kuah Bakso Ikan, Kuah Tahu Seafood, Sup Sehat, Sup Hipio, Sup Ayam Tempo Dulu, Sup Sapi Tempo Dulu, Sup Iga Sapi, Sup Buntut Sapi.","menu"
"apa saja pilihan kuah?","Menu Kuah yang tersedia yaitu: Pangsit Kuah, Capcay Kuah, Kuah Bakso Sapi, Kuah Bakso Ikan, Kuah Tahu Seafood, Sup Sehat, Sup Hipio, Sup Ayam Tempo Dulu, Sup Sapi Tempo Dulu, Sup Iga Sapi, Sup Buntut Sapi.","menu"
"list menu berkuah","Menu Kuah yang tersedia yaitu: Pangsit Kuah, Capcay Kuah, Kuah Bakso Sapi, Kuah Bakso Ikan, Kuah Tahu Seafood, Sup Sehat, Sup Hipio, Sup Ayam Tempo Dulu, Sup Sapi Tempo Dulu, Sup Iga Sapi, Sup Buntut Sapi.","menu"
"makanan berkuah apa saja?","Menu Kuah yang tersedia yaitu: Pangsit Kuah, Capcay Kuah, Kuah Bakso Sapi, Kuah Bakso Ikan, Kuah Tahu Seafood, Sup Sehat, Sup Hipio, Sup Ayam Tempo Dulu, Sup Sapi Tempo Dulu, Sup Iga Sapi, Sup Buntut Sapi.","menu"
"jenis kuah apa yang tersedia?","Menu Kuah yang tersedia yaitu: Pangsit Kuah, Capcay Kuah, Kuah Bakso Sapi, Kuah Bakso Ikan, Kuah Tahu Seafood, Sup Sehat, Sup Hipio, Sup Ayam Tempo Dulu, Sup Sapi Tempo Dulu, Sup Iga Sapi, Sup Buntut Sapi.","menu"
"apakah ada pangsit kuah?","Tersedia Pangsit Kuah: Rp.52.000","menu"
"apakah ada capcay kuah?","Tersedia Capcay Kuah: Rp.65.000","menu"
"apakah ada kuah bakso sapi?","Tersedia Kuah Bakso Sapi: Rp.67.000","menu"
"apakah ada kuah bakso ikan?","Tersedia Kuah Bakso Ikan: Rp.65.000","menu"
"apakah ada kuah tahu seafood?","Tersedia Kuah Tahu Seafood: Rp.70.000","menu"
"apakah ada sup sehat?","Tersedia Sup Sehat: Rp.67.000","menu"
"apakah ada sup hipio?","Tersedia Sup Hipio: Rp.80.000","menu"
"apakah ada sup ayam tempo dulu?","Tersedia Sup Ayam Tempo Dulu: Rp.60.000","menu"
"apakah ada sup sapi tempo dulu?","Tersedia Sup Sapi Tempo Dulu: Rp.70.000","menu"
"apakah ada sup iga sapi?","Tersedia Sup Iga Sapi: Rp.75.000","menu"
"apakah ada sup buntut sapi?","Tersedia Sup Buntut Sapi: Rp.75.000","menu"
"harga Pangsit Kuah?","Harga Pangsit Kuah: Rp.52.000","harga"
"berapa harga pangsit kuah?","Harga Pangsit Kuah: Rp.52.000","harga"
"pangsit kuah harganya?","Harga Pangsit Kuah: Rp.52.000","harga"
"price pangsit kuah","Harga Pangsit Kuah: Rp.52.000","harga"
"harga Capcay Kuah?","Harga Capcay Kuah: Rp.65.000","harga"
"capcay kuah berapa harganya?","Harga Capcay Kuah: Rp.65.000","harga"
"berapa harga capcay kuah?","Harga Capcay Kuah: Rp.65.000","harga"
"harga cap cay kuah","Harga Capcay Kuah: Rp.65.000","harga"
"harga Kuah Bakso Sapi?","Harga Kuah Bakso Sapi: Rp.67.000","harga"
"kuah bakso sapi harganya berapa?","Harga Kuah Bakso Sapi: Rp.67.000","harga"
"berapa harga bakso sapi kuah?","Harga Kuah Bakso Sapi: Rp.67.000","harga"
"harga bakso sapi berkuah","Harga Kuah Bakso Sapi: Rp.67.000","harga"
"harga Kuah Bakso Ikan?","Harga Kuah Bakso Ikan: Rp.65.000","harga"
"kuah bakso ikan berapa?","Harga Kuah Bakso Ikan: Rp.65.000","harga"
"harga bakso ikan kuah?","Harga Kuah Bakso Ikan: Rp.65.000","harga"
"berapa harga kuah bakso ikan","Harga Kuah Bakso Ikan: Rp.65.000","harga"
"harga Kuah Tahu Seafood?","Harga Kuah Tahu Seafood: Rp.70.000","harga"
"kuah tahu seafood harganya?","Harga Kuah Tahu Seafood: Rp.70.000","harga"
"berapa harga tahu seafood kuah?","Harga Kuah Tahu Seafood: Rp.70.000","harga"
"harga tahu seafood berkuah","Harga Kuah Tahu Seafood: Rp.70.000","harga"
"harga Sup Sehat?","Harga Sup Sehat: Rp.67.000","harga"
"sup sehat berapa harganya?","Harga Sup Sehat: Rp.67.000","harga"
"berapa harga sup sehat?","Harga Sup Sehat: Rp.67.000","harga"
"price sup sehat","Harga Sup Sehat: Rp.67.000","harga"
"harga Sup Hipio?","Harga Sup Hipio: Rp.80.000","harga"
"sup hipio harganya berapa?","Harga Sup Hipio: Rp.80.000","harga"
"berapa harga sup hipio?","Harga Sup Hipio: Rp.80.000","harga"
"harga sup hipio","Harga Sup Hipio: Rp.80.000","harga"
"harga Sup Ayam Tempo Dulu?","Harga Sup Ayam Tempo Dulu: Rp.60.000","harga"
"sup ayam tempo dulu berapa?","Harga Sup Ayam Tempo Dulu: Rp.60.000","harga"
"harga sup ayam jaman dulu?","Harga Sup Ayam Tempo Dulu: Rp.60.000","harga"
"sup ayam tradisional harganya?","Harga Sup Ayam Tempo Dulu: Rp.60.000","harga"
"harga Sup Sapi Tempo Dulu?","Harga Sup Sapi Tempo Dulu: Rp.70.000","harga"
"sup sapi tempo dulu harganya?","Harga Sup Sapi Tempo Dulu: Rp.70.000","harga"
"berapa harga sup sapi jaman dulu?","Harga Sup Sapi Tempo Dulu: Rp.70.000","harga"
"sup sapi tradisional berapa?","Harga Sup Sapi Tempo Dulu: Rp.70.000","harga"
"harga Sup Iga Sapi?","Harga Sup Iga Sapi: Rp.75.000","harga"
"sup iga sapi harganya berapa?","Harga Sup Iga Sapi: Rp.75.000","harga"
"berapa harga sup iga?","Harga Sup Iga Sapi: Rp.75.000","harga"
"harga iga sapi kuah","Harga Sup Iga Sapi: Rp.75.000","harga"
"harga Sup Buntut Sapi?","Harga Sup Buntut Sapi: Rp.75.000","harga"
"sup buntut sapi berapa?","Harga Sup Buntut Sapi: Rp.75.000","harga"
"harga sup buntut?","Harga Sup Buntut Sapi: Rp.75.000","harga"
"buntut sapi kuah harganya?","Harga Sup Buntut Sapi: Rp.75.000","harga"
"daftar harga menu kuah","Berikut daftar harga menu kuah: Pangsit Kuah Rp.52.000, Capcay Kuah Rp.65.000, Kuah Bakso Sapi Rp.67.000, Kuah Bakso Ikan Rp.65.000, Kuah Tahu Seafood Rp.70.000, Sup Sehat Rp.67.000, Sup Hipio Rp.80.000, Sup Ayam Tempo Dulu Rp.60.000, Sup Sapi Tempo Dulu Rp.70.000, Sup Iga Sapi Rp.75.000, Sup Buntut Sapi Rp.75.000","harga"
